Player,Rating
nut,1145.19
jake,1159.49
sheep,1109.92
n00b,1083.09
kashwi,1007.67
jl,1066.47
ssisp,872.88
bob,1075.25
suoerjomblwojob,1017.45
duck_17,958.41
skybombs,1019.71
neil,1007.9
zerk,955.06
chris_lang,952.63
chm,937.72
m2,1150.72
skiqu,1056.37
klucky,913.15
fatboy,705.1
tiny_bro,836.17
troll,1012.38
zoro,999.04
leeisateam,993.56
chokeagainplz,967.84
bluex,914.94
quiks,1040.54
alp,908.98
dfasfaddd,974.14
stonoga,1154.24
squitar,1156.31
geo,1089.52
abys,790.14
my_alt,951.63
simba,1132.56
pmt,926.77
goomba,982.25
z2,1017.62
meow,964.66
afg,1030.24
sagh,946.24
